MultiUAV-001.txt:	 MOTA: 0.309088,	 FP: 9290, 	 FN:13294,	 SW:1059
MultiUAV-003.txt:	 MOTA: 0.852349,	 FP: 1673, 	 FN:3308,	 SW:308
MultiUAV-006.txt:	 MOTA: 0.939895,	 FP: 493, 	 FN:1333,	 SW:31
MultiUAV-011.txt:	 MOTA: 0.857548,	 FP: 171, 	 FN:287,	 SW:44
MultiUAV-012.txt:	 MOTA: 0.784415,	 FP: 384, 	 FN:369,	 SW:41
MultiUAV-014.txt:	 MOTA: 0.711467,	 FP: 635, 	 FN:435,	 SW:12
MultiUAV-017.txt:	 MOTA: 0.463467,	 FP: 1126, 	 FN:886,	 SW:0
MultiUAV-019.txt:	 MOTA: 0.401600,	 FP: 1144, 	 FN:1100,	 SW:0
MultiUAV-022.txt:	 MOTA: 0.608533,	 FP: 906, 	 FN:562,	 SW:0
MultiUAV-029.txt:	 MOTA: 0.688000,	 FP: 486, 	 FN:682,	 SW:2
MultiUAV-035.txt:	 MOTA: 0.841943,	 FP: 2016, 	 FN:2012,	 SW:121
MultiUAV-040.txt:	 MOTA: 0.870324,	 FP: 1184, 	 FN:2148,	 SW:72
MultiUAV-044.txt:	 MOTA: 0.580839,	 FP: 5128, 	 FN:4740,	 SW:20
MultiUAV-045.txt:	 MOTA: 0.837943,	 FP: 2000, 	 FN:2208,	 SW:46
MultiUAV-047.txt:	 MOTA: 0.829029,	 FP: 1761, 	 FN:2657,	 SW:70
MultiUAV-049.txt:	 MOTA: 0.854514,	 FP: 1222, 	 FN:2328,	 SW:269
MultiUAV-052.txt:	 MOTA: 0.881850,	 FP: 1284, 	 FN:2616,	 SW:136
MultiUAV-054.txt:	 MOTA: 0.954077,	 FP: 286, 	 FN:881,	 SW:23
MultiUAV-056.txt:	 MOTA: 0.942889,	 FP: 536, 	 FN:773,	 SW:162
MultiUAV-057.txt:	 MOTA: 0.975511,	 FP: 141, 	 FN:493,	 SW:6
MultiUAV-059.txt:	 MOTA: 0.961943,	 FP: 124, 	 FN:868,	 SW:7
MultiUAV-060.txt:	 MOTA: 0.898248,	 FP: 818, 	 FN:1568,	 SW:285
MultiUAV-063.txt:	 MOTA: 0.971709,	 FP: 507, 	 FN:224,	 SW:5
MultiUAV-068.txt:	 MOTA: 0.773931,	 FP: 540, 	 FN:960,	 SW:54
